Unnamed: 0,Case Number,Project Names,Amount,Date,Beneficiaries,Beneficiary type,Number of donations,Partner,Location,Details URL,Hijri_Month
714,P48263,الرعاية الصحية لمرضى الفشل الكلوي,399400,2024-05-20,50,المواطنون والمقيمون بالمملكة,19923,جمعية أطباء طيبة الطبية الخيرية حياة,المدينة المنورة,https://ehsan.sa/projects/0/47264?amount=null,ذو القعدة
715,P48293,إعانة أسر السجناء,80000,2024-05-20,5,المواطنون والمقيمون بالمملكة,5244,جمعية مساعدة السجناء المعسرين والمعوزين بجدة,جدة,https://ehsan.sa/projects/0/47294?amount=null,ذو القعدة
716,P48292,تفريج كرب المتعففين,260000,2024-05-19,130,المواطنون,17563,جمعية عثمان بن عفان الخيرية بالحفائر,خميس  مشيط,https://ehsan.sa/projects/0/47293?amount=null,ذو القعدة
717,P48296,رعاية كبار السن المتعففين,180000,2024-05-19,120,المواطنون,15706,جمعية البر الخيرية بالهمجة,النبهانية,https://ehsan.sa/projects/0/47297?amount=null,ذو القعدة
718,P48301,سقيا الماء لضيوف الرحمن,600000,2024-05-19,1090909,المواطنون والمقيمون بالمملكة,49686,جمعية رفادة لخدمة الحاج والمعتمر,مكة المكرمة,https://ehsan.sa/projects/0/47302?amount=null,ذو القعدة
719,P48297,كفالة الحجاج,399900,2024-05-18,43,المواطنون,21842,جمعية البر الخيرية للخدمات الاجتماعية بمحافظة يدمة,يدمة,https://ehsan.sa/projects/0/47298?amount=null,ذو القعدة
720,P48275,دعم حلقات تحفيظ القرآن الكريم,300000,2024-05-17,309,المواطنون والمقيمون بالمملكة,25637,جمعية تحفيظ القرآن الكريم بالرياض مكنون,الرياض,https://ehsan.sa/projects/0/47276?amount=null,ذو القعدة
721,P48291,وجبات الطعام للأسر المتعففة,92400,2024-05-17,4620,المواطنون والمقيمون بالمملكة,6946,جمعية حفظ النعمة الخيرية بالبدائع,البدائع,https://ehsan.sa/projects/0/47292?amount=null,ذو القعدة
722,P48284,سقيا الماء للأسر المتعففة,541800,2024-05-17,1204,المواطنون,51625,جمعية البر الخيرية بمركز غميقة,الليث,https://ehsan.sa/projects/0/47285?amount=null,ذو القعدة
723,P48283,كفالة الحجاج,632500,2024-05-17,55,المواطنون والمقيمون بالمملكة,42945,جمعية سعادتي الاجتماعية,الرياض,https://ehsan.sa/projects/0/47284?amount=null,ذو القعدة
724,P48255,السلال الغذائية للأسر المحتاجة,268500,2024-05-16,537,المواطنون,18325,جمعية البر الخيرية بربوع العين,أضم,https://ehsan.sa/projects/0/47256?amount=null,ذو القعدة
725,P48267,تفريج كرب الأسر المتعففة,100000,2024-05-15,20,المواطنون,6923,جمعية أصدقاء لاعبي كرة القدم الخيرية,الرياض,https://ehsan.sa/projects/0/47268?amount=null,ذو القعدة
726,P48276,وجبات الطعام للأسر المتعففة,220000,2024-05-15,44000,المواطنون والمقيمون بالمملكة,17255,جمعية خيرات لحفظ النعمة,الرياض,https://ehsan.sa/projects/0/47283?amount=null,ذو القعدة
727,P48269,التكفل بالعمرة للمتعففين,45000,2024-05-14,150,المواطنون والمقيمون بالمملكة,3904,جمعية الدعوة والإرشاد بقرى الحسيني والنجوع,صبياء,https://ehsan.sa/projects/0/47270?amount=null,ذو القعدة
728,P48256,دعم المقبلين على الزواج,250000,2024-05-14,50,المواطنون,18554,الجمعية الخيرية لمساعدة الشباب على الزواج والتوجيه الأسري بجدة,جدة,https://ehsan.sa/projects/0/47257?amount=null,ذو القعدة
729,P48273,سقيا الماء,500000,2024-05-13,500000,المواطنون والمقيمون بالمملكة,48066,جمعية الغريف بمحافظة الخرمة,النزهة - مكة المكرمة,https://ehsan.sa/projects/0/47274?amount=null,ذو القعدة
730,P48244,الأجهزة الطبية للمتعففين,150000,2024-05-13,67,المواطنون والمقيمون بالمملكة,9023,اكرام المسنين بمنطقة مكة المكرمة,جدة,https://ehsan.sa/projects/0/47245?amount=null,ذو القعدة
731,P48274,الكفالة التعليمية للطلاب المتعففين,36000,2024-05-13,25,المواطنون,1746,جمعية التنمية الاهلية بالعماير,الأمواه,https://ehsan.sa/projects/0/47275?amount=null,ذو القعدة
732,P48271,عملية جراحية لمريض هشاشة عظام,26400,2024-05-12,1,المقيمون بالمملكة,1632,جمعية رحماء الصحية,الرياض,https://ehsan.sa/projects/0/47272?amount=null,ذو القعدة
733,P48242,رعاية كبار السن المتعففين,268000,2024-05-12,67,المواطنون,18060,جمعية أكابر لكبار السن بمنطقة عسير,أبها,https://ehsan.sa/projects/0/47243?amount=null,ذو القعدة
734,P47907,توفير الأجهزة الكهربائية للمحتاجين,199992,2024-05-12,39,المواطنون,17753,جمعية مساند لتمكين ذوي الظروف الخاصة بمكة المكرمة,مكة المكرمة,https://ehsan.sa/projects/0/46908?amount=null,ذو القعدة
735,P48261,كفالة رواتب معلمي ومعلمات حلقات تحفيظ القرآن الكريم,200000,2024-05-11,100,المواطنون,19107,الجمعية تحفيظ القرآن الكريم بالجموم,الجموم,https://ehsan.sa/projects/0/47262?amount=null,ذو القعدة
736,P48266,تيسير نقل المرضى المتعففين,156000,2024-05-11,8,المواطنون والمقيمون بالمملكة,16640,جمعية الخدمات الطبية الاسعافية,الرياض,https://ehsan.sa/projects/0/47267?amount=null,ذو القعدة
737,P48265,سداد إيجار منازل الأسر المتعففة,336400,2024-05-11,102,المواطنون والمقيمون بالمملكة,21314,جمعية الإحسان للخدمات الاجتماعية,بريدة,https://ehsan.sa/projects/0/47266?amount=null,ذو القعدة
738,P48257,كفالة الأرامل والمطلقات,250000,2024-05-11,50,المواطنون,17158,جمعية عطاء بمحافظة جده,جدة,https://ehsan.sa/projects/0/47258?amount=null,ذو القعدة
739,P48246,جلسات العلاج التأهيلي للمتعففين,300000,2024-05-10,24,المواطنون والمقيمون بالمملكة,22592,جمعية إيفاء لرعاية ذوي الإعاقة,الدمام,https://ehsan.sa/projects/0/47247?amount=null,ذو القعدة
740,P48245,توفير الإنسولين لمرضى السكري,300000,2024-05-10,200,المواطنون والمقيمون بالمملكة,20538,جمعية اصدقاء مرضى السكر الخيرية,جدة,https://ehsan.sa/projects/0/47246?amount=null,ذو القعدة
741,P48203,وجبات الطعام للطلاب الجامعيين,195000,2024-05-10,15000,المقيمون بالمملكة,19286,جمعية ارزاق الخير لحفظ النعمة,حفر الباطن,https://ehsan.sa/projects/0/47204?amount=null,ذو القعدة
742,P48264,كفالة مغسلي الجنائز,74400,2024-05-10,3,المواطنون والمقيمون بالمملكة,6921,جمعية الإحسان لشؤون الموتى بمحافظة وادي الدواسر,وادى الدواسر,https://ehsan.sa/projects/0/47265?amount=null,ذو القعدة
743,P48252,سقيا الماء للأسر المتعففة,300000,2024-05-10,810,المواطنون,27264,جمعية التنمية الأهلية بالشداخة,بيشة,https://ehsan.sa/projects/0/47253?amount=null,ذو القعدة
744,P48262,جلسات كيماوي عاجلة لمريضة متعففة,43813,2024-05-09,1,المواطنون والمقيمون بالمملكة,2456,جمعية الإحسان الطبية الخيرية,جازان,https://ehsan.sa/projects/0/47263?amount=null,ذو القعدة
745,P48258,رحلات العمرة للمتعففين,99000,2024-05-09,800,المواطنون والمقيمون بالمملكة,9857,جمعية الدعوة والإرشاد وتوعية الجاليات بالمحاني,الطائف,https://ehsan.sa/projects/0/47259?amount=null,ذو القعدة
746,P48259,ترجمة معاني القرآن الكريم إلى الكورية,76000,2024-05-09,1000,المواطنون والمقيمون بالمملكة,7862,مجمع الملك فهد لطباعة المصحف الشريف بالمدينة المنورة,المدينة المنورة,https://ehsan.sa/projects/0/47260?amount=null,ذو القعدة
747,P48254,تفريج كرب الأسر المتعففة,270000,2024-05-08,108,المواطنون,15656,جمعية البر الخيرية بمحافظة قرية العليا,قرية العليا,https://ehsan.sa/projects/0/47255?amount=null,شوال
748,P48260,عملية جراحية لمصابة بكسر في الترقوة,23920,2024-05-07,1,المقيمون بالمملكة,1695,جمعية رحماء الصحية,الرياض,https://ehsan.sa/projects/0/47261?amount=null,شوال
749,P48231,سداد إيجار الأسر المتعففة,300000,2024-05-07,25,المواطنون,13278,جمعية البر الخيرية بثلوث المنظر,ثلوث المنظر,https://ehsan.sa/projects/0/47232?amount=null,شوال
750,P48233,السلال الغذائية للأسر المحتاجة,213500,2024-05-06,610,المواطنون,14151,جمعية البر الخيرية بمركز فيضة اثقب,حائل,https://ehsan.sa/projects/0/47234?amount=null,شوال
751,P48237,التكفل بالعمرة للمعاقين من الجاليات,250000,2024-05-06,50,المقيمون بالمملكة,21006,جمعية حفاوة لخدمة الحاج والمعتمر والزائر,مكة المكرمة,https://ehsan.sa/projects/0/47238?amount=null,شوال
752,P48241,كفالة الأرامل والمطلقات,78000,2024-05-05,48,المواطنون,4391,جمعية مركز الحماده,فيضة الحماده,https://ehsan.sa/projects/0/47242?amount=null,شوال
753,P48243,طباعة المصحف الشريف باللغة التركية,100000,2024-05-05,4000,المواطنون والمقيمون بالمملكة,10030,مجمع الملك فهد لطباعة المصحف الشريف بالمدينة المنورة,المدينة المنورة,https://ehsan.sa/projects/0/47244?amount=null,شوال
754,P47826,الكفالة التعليمية للطلاب المحتاجين,200000,2024-05-05,100,المواطنون,17437,جمعية فتاة الاحساء التنموية الخيرية,الأحساء,https://ehsan.sa/projects/0/46827?amount=null,شوال
755,P48240,دعم المقبلين على الزواج,160000,2024-05-04,16,المواطنون,7790,جمعية التنمية الأسرية في محافظة الأفلاج,الأفلاج,https://ehsan.sa/projects/0/47241?amount=null,شوال
756,P48248,سقيا الماء لضيوف الرحمن,500000,2024-05-04,500000,المواطنون والمقيمون بالمملكة,43081,الجمعية الخيرية بمحافظة الكامل,مكة المكرمة,https://ehsan.sa/projects/0/47249?amount=null,شوال
757,P48239,تأثيث منازل المتعففين,250000,2024-05-04,79,المواطنون,21066,جمعية البر الخيرية بأم الدوم,المويه,https://ehsan.sa/projects/0/47240?amount=null,شوال
758,P48247,علاج تأخر النمو لطفلة,30000,2024-05-03,1,المقيمون بالمملكة,1579,جمعية الكوثر الصحية بعسير,أبها,https://ehsan.sa/projects/0/47248?amount=null,شوال
759,P48235,تفريج كرب الأسر المتعففة,301500,2024-05-03,201,المواطنون,16844,جمعية البر الخيرية بمركز شثاث,الشبحة,https://ehsan.sa/projects/0/47236?amount=null,شوال
760,P48236,كفالة الأرامل والمطلقات,246000,2024-05-03,41,المواطنون,12976,جمعية البر الخيرية بمركز غامد الزناد بمنطقة الباحة,غامد الزناد,https://ehsan.sa/projects/0/47237?amount=null,شوال
761,P48238,طباعة المصاحف,400000,2024-05-03,10000,المواطنون والمقيمون بالمملكة,34791,مجمع الملك فهد لطباعة المصحف الشريف بالمدينة المنورة,المدينة المنورة,https://ehsan.sa/projects/0/47239?amount=null,شوال
762,P48232,علاج حرق من الدرجة الثالثة لمريض متعفف,84223,2024-05-02,1,المقيمون بالمملكة,4030,جمعية رحماء الصحية,الرياض,https://ehsan.sa/projects/0/47233?amount=null,شوال
763,P47831,الأجهزة الطبية للمتعففين,100000,2024-05-02,50,المواطنون والمقيمون بالمملكة,5027,جمعية بسمة معافى الصحية,حفر الباطن,https://ehsan.sa/projects/0/46832?amount=null,شوال
764,P48234,سقيا الماء,246000,2024-05-01,205,المواطنون,16567,جمعية البر والخدمات الاجتماعية بأرن,ارن,https://ehsan.sa/projects/0/47235?amount=null,شوال
765,P47624,الكفالة التعليمية للأيتام,10010,2024-04-30,7,المواطنون,527,الجمعية الخيرية لرعاية الايتام بتبوك,تبوك,https://ehsan.sa/projects/0/46625?amount=null,شوال
766,P48222,كفالة الأرامل المتعففات,398400,2024-04-30,166,المواطنون,19575,الجمعية الخيرية لرعاية الأيتام بالمنطقة الشرقية بناء,الخبر,https://ehsan.sa/projects/0/47225?amount=null,شوال
767,P48213,استكمال بناء مسجد جازان,2405322,2024-04-30,300,المواطنون والمقيمون بالمملكة,150783,جمعية كفاءة للتشغيل والصيانة الأهلية,بلغازي,https://ehsan.sa/projects/0/47214?amount=null,شوال
768,P47855,توفير الأجهزة الكهربائية للمحتاجين,195000,2024-04-30,195,المواطنون,19611,جمعية الملك خالد الخيرية النسائية بتبوك,تبوك,https://ehsan.sa/projects/0/46856?amount=null,شوال
769,P48228,العلاج الكيميائي للأطفال المصابين بالسرطان,499062,2024-04-30,4,المقيمون بالمملكة,23112,بصمة تفاؤل لمرضى سرطان الاطفال,الرياض,https://ehsan.sa/projects/0/47229?amount=null,شوال
770,P48227,الجلسات التأهيلية لذوي الإعاقة,300000,2024-04-29,20,المواطنون,20474,جمعية التوحد في محافظة رجال ألمع,رجال ألمع,https://ehsan.sa/projects/0/47228?amount=null,شوال
771,P47823,الكفالة التعليمية للطلاب المحتاجين,177120,2024-04-29,123,المواطنون,13712,جمعية البر الخيرية بالأبواء,الأبواء,https://ehsan.sa/projects/0/46824?amount=null,شوال
772,P48200,تأثيث مساكن اليتيمات,494400,2024-04-29,12,المواطنون,37398,جمعية بنيان للخدمات الاجتماعية,بريدة,https://ehsan.sa/projects/0/47201?amount=null,شوال
773,P48221,السلال الغذائية للأسر المحتاجة,158400,2024-04-28,198,المواطنون والمقيمون بالمملكة,9816,جمعية البر بمركز سلطانة,سلطانة,https://ehsan.sa/projects/0/47222?amount=null,شوال
774,P48215,دعم المقبلين على الزواج,450000,2024-04-27,90,المواطنون,31091,جمعية التنمية الأسرية بالمنطقة الشرقية وئام,الدمام,https://ehsan.sa/projects/0/47216?amount=null,شوال
775,P48230,توفير المصاحف للمكفوفين,280000,2024-04-27,35,المواطنون,22624,جمعية المكفوفين الأهلية بمنطقة الرياض كفيف,الرياض,https://ehsan.sa/projects/0/47231?amount=null,شوال
776,P48217,رعاية كبار السن المتعففين,180000,2024-04-26,30,المواطنون,9637,الجمعية السعودية لمساندة كبار السن وقار,الرياض,https://ehsan.sa/projects/0/47218?amount=null,شوال
777,P48226,التكفل بالعمرة للمتعففين,40000,2024-04-26,67,المواطنون,3434,الجمعية النسائية بحفر الباطن (درة),حفر الباطن,https://ehsan.sa/projects/0/47227?amount=null,شوال
778,P48204,سداد إيجار منازل الأسر المتعففة,400600,2024-04-26,14,المواطنون,23936,جمعية أصدقاء لاعبي كرة القدم الخيرية,الرياض,https://ehsan.sa/projects/0/47205?amount=null,شوال
779,P47873,سقيا الماء,102000,2024-04-26,680,المواطنون والمقيمون بالمملكة,8625,جمعية الشماس للخدمات الاجتماعية عطاء ببريده,بريدة,https://ehsan.sa/projects/0/46874?amount=null,شوال
780,P48229,الفحوصات الطبية لمريضة مصابة بورم في الثدي,51051,2024-04-25,1,المقيمون بالمملكة,2903,جمعية رحماء الصحية,الرياض,https://ehsan.sa/projects/0/47230?amount=null,شوال
781,P47828,الأجهزة الطبية للمتعففين,60000,2024-04-25,60,المواطنون والمقيمون بالمملكة,4151,جمعية مراس الصحية,أبها,https://ehsan.sa/projects/0/46829?amount=null,شوال
782,P47833,توفير الأدوية للمرضى المحتاجين,127500,2024-04-25,50,المقيمون بالمملكة,8592,جمعية رحماء الصحية,الرياض,https://ehsan.sa/projects/0/46834?amount=null,شوال
783,P48220,كفالة الأرامل والمطلقات,184000,2024-04-25,184,المواطنون,9890,جمعية البر والخدمات الاجتماعية بسبت العلاية,بلقرن,https://ehsan.sa/projects/0/47221?amount=null,شوال
784,P48150,طباعة ونشر المصاحف,2250000,2024-04-25,150000,المواطنون والمقيمون بالمملكة,149597,مجمع الملك فهد لطباعة المصحف الشريف بالمدينة المنورة,المدينة المنورة,https://ehsan.sa/projects/0/47155?amount=null,شوال
785,P48216,رحلات العمرة للمتعففين,100000,2024-04-25,200,المواطنون والمقيمون بالمملكة,10470,جمعية الدعوة والإرشاد وتوعية الجاليات ببني حسن,بني حسن,https://ehsan.sa/projects/0/47217?amount=null,شوال
786,P47866,سقيا الماء للأسر المتعففة,50000,2024-04-24,100,المواطنون,4562,جمعية التنمية الاجتماعية بالغالة,الغالة,https://ehsan.sa/projects/0/46867?amount=null,شوال
787,P47821,الكفالة التعليمية للطلاب,172800,2024-04-24,120,المواطنون,11112,جمعية أيتام الجبيل,الجبيل,https://ehsan.sa/projects/0/46822?amount=null,شوال
788,P47836,الرعاية الصحية لمرضى السرطان,170000,2024-04-24,17,المقيمون بالمملكة,7209,جمعية براءة لأمراض دم وسرطان الاطفال بمكة,مكة المكرمة,https://ehsan.sa/projects/0/46837?amount=null,شوال
789,P48219,السلال الغذائية للأسر المحتاجة,161000,2024-04-24,322,المواطنون,12110,جمعية البر الخيرية بالحفير,الحفير,https://ehsan.sa/projects/0/47220?amount=null,شوال
790,P47847,سقيا الماء,33600,2024-04-23,1200,المواطنون,2405,جمعية البر الخيرية بالحقو,الحقو,https://ehsan.sa/projects/0/46848?amount=null,شوال
791,P47920,كفالة الأرامل والمطلقات,202500,2024-04-23,75,المواطنون,10376,جمعية البر الخيرية بمركز شثاث,الشبحة,https://ehsan.sa/projects/0/46921?amount=null,شوال
792,P48163,الأجهزة الطبية للمحتاجين,210000,2024-04-23,42,المقيمون بالمملكة,12477,جمعية الرعاية الصحية بعقلة الصقور,عقلة الصقور,https://ehsan.sa/projects/0/47164?amount=null,شوال
793,P47876,سقيا الماء,103500,2024-04-23,250,المواطنون والمقيمون بالمملكة,9614,جمعية البر الخيرية بالغالة,الغالة,https://ehsan.sa/projects/0/46877?amount=null,شوال
794,P48170,دعم معلمي ومعلمات حلقات التحفيظ,300000,2024-04-22,200,المواطنون,20811,الجمعية الخيرية لتحفيظ القرآن الكريم بمكة المكرمة,مكة المكرمة,https://ehsan.sa/projects/0/47171?amount=null,شوال
795,P47928,تفريج كرب الأسر المحتاجة,375000,2024-04-22,250,المواطنون,28040,جمعية البر الخيرية بتهامة بللسمر وبللحمر,تهامة باللحمر وباللسمر,https://ehsan.sa/projects/0/46929?amount=null,شوال
796,P48214,السلال الغذائية للأسر المتعففة,200233,2024-04-22,1199,المواطنون,11589,جمعية البر الأهلية بيشة,بيشة,https://ehsan.sa/projects/0/47215?amount=null,شوال
797,P47825,الأجهزة الطبية لذوي الإعاقة,50000,2024-04-22,100,المواطنون,2207,جمعية قادرون للأشخاص ذوي الإعاقة بمحافظة شقراء,شقراء,https://ehsan.sa/projects/0/46826?amount=null,شوال
798,P48218,جلسات العلاج باليود لمريضة متعففة,64400,2024-04-21,1,المقيمون بالمملكة,3465,جمعية رحماء الصحية,الرياض,https://ehsan.sa/projects/0/47219?amount=null,شوال
799,P47846,سقيا الماء,12420,2024-04-21,276,المواطنون والمقيمون بالمملكة,1220,جمعية الداهنة الخيرية,الداهنة,https://ehsan.sa/projects/0/46847?amount=null,شوال
800,P47988,سقيا الماء للأسر المتعففة,140000,2024-04-21,70,المواطنون والمقيمون بالمملكة,15783,نبع الخير,تربة,https://ehsan.sa/projects/0/46989?amount=null,شوال
801,P48161,رعاية وتأهيل أطفال اضطرابات النطق والتخاطب,196759,2024-04-21,41,المواطنون والمقيمون بالمملكة,8776,جمعية ناطق للنطق والتخاطب,أبها,https://ehsan.sa/projects/0/47162?amount=null,شوال
802,P48196,سقيا الماء للمعتمرين,600000,2024-04-19,600000,المواطنون والمقيمون بالمملكة,64116,جمعية البر الخيرية بثول,مكة المكرمة,https://ehsan.sa/projects/0/47199?amount=null,شوال
803,P48201,السلال الغذائية للأسر المحتاجة,200000,2024-04-19,200,المواطنون,11442,الجمعية الأهلية لحفظ النعمة بالأفلاج,الأفلاج,https://ehsan.sa/projects/0/47202?amount=null,شوال
804,P47927,تفريج كربة,300000,2024-04-19,60,المواطنون,19711,الجمعية السعودية الخيرية للفصام ( احتواء),الرياض,https://ehsan.sa/projects/0/46928?amount=null,شوال
805,P47923,كفالة الأرامل والمطلقات,238000,2024-04-18,238,المواطنون,12487,جمعية البر الخيرية بالرين,الرين,https://ehsan.sa/projects/0/46924?amount=null,شوال
806,P48206,جلسات العلاج الكيميائي لمريضة متعففة,28255,2024-04-17,1,المواطنون والمقيمون بالمملكة,1309,جمعية الإحسان الطبية الخيرية,أبي عريش,https://ehsan.sa/projects/0/47213?amount=null,شوال
807,P48158,كفالة داعية,192519,2024-04-17,3,المقيمون بالمملكة,13724,جمعية الدعوة والارشاد وتوعية الجاليات بالروضة,الرياض,https://ehsan.sa/projects/0/47159?amount=null,شوال
808,P47915,تفريج كرب الأسر المحتاجة,468000,2024-04-17,156,المواطنون,27554,جمعية البر الخيرية بالفريش,الفريش,https://ehsan.sa/projects/0/46916?amount=null,شوال
809,P47875,سقيا الماء,103400,2024-04-16,1034,المواطنون والمقيمون بالمملكة,11316,الجمعية الخيرية للخدمات الاجتماعية بنجران,نجران,https://ehsan.sa/projects/0/46876?amount=null,شوال
810,P47827,كفالة مرضى الفشل الكلوي,58880,2024-04-16,2,المقيمون بالمملكة,3755,جمعية الكوثر الصحية بعسير,أبها,https://ehsan.sa/projects/0/46828?amount=null,شوال
811,P48205,عملية إزالة ورم في الركبة لمريض متعفف,67849,2024-04-16,1,المقيمون بالمملكة,5093,جمعية رحماء الصحية,الرياض,https://ehsan.sa/projects/0/47206?amount=null,شوال
812,P47850,سقيا الماء للأسر المتعففة,52450,2024-04-14,1049,المواطنون,4911,جمعية البر الخيرية بمحافظة ثار,ثار,https://ehsan.sa/projects/0/46851?amount=null,شوال
813,P47824,الرعاية الصحية لمرضى الفشل الكلوي,44160,2024-04-14,1,المقيمون بالمملكة,2215,جمعية الكوثر الصحية بعسير,أبها,https://ehsan.sa/projects/0/46825?amount=null,شوال
814,P48202,علاج طفل مصاب بتشوه في القلب,50000,2024-04-14,1,المقيمون بالمملكة,4047,جمعية قلب لرعاية مرضى القلب,بريدة,https://ehsan.sa/projects/0/47203?amount=null,شوال
815,P48199,التكفل بالعمرة للمتعففين,37500,2024-04-14,25,المواطنون,2868,جمعية عطاء الشبابية,أحد رفيدة,https://ehsan.sa/projects/0/47200?amount=null,شوال
816,P48067,غرس الأشجار لمكافحة التصحر,150000,2024-04-13,10000,المواطنون والمقيمون بالمملكة,13330,جمعية التنمية الأهلية بالشداخة,بيشة,https://ehsan.sa/projects/0/47068?amount=null,شوال
817,P48134,سداد إيجار منازل أسر الأيتام,1082900,2024-04-12,99,المواطنون,38130,المؤسسة الخيرية لرعاية الأيتام إخاء,جدة,https://ehsan.sa/projects/0/47135?amount=null,شوال
818,P48193,الرعاية الصحية لمرضى الفشل الكلوي,450000,2024-04-12,60,المواطنون والمقيمون بالمملكة,26767,جمعية عناية الصحية,الرياض,https://ehsan.sa/projects/0/47194?amount=null,شوال
819,P48106,الرعاية الصحية للمرضى المتعففين,600000,2024-04-12,600,المواطنون والمقيمون بالمملكة,27872,وقف الشفاء الصحي,المدينة المنورة,https://ehsan.sa/projects/0/47108?amount=null,شوال
820,P48195,تأثيث منازل المتعففين,180000,2024-04-11,6,المواطنون,13170,جمعية البر الاهلية بالعرضية الجنوبية,العرضية الجنوبية,https://ehsan.sa/projects/0/47196?amount=null,شوال
821,P48019,توفير الأجهزة الكهربائية للمحتاجين,300000,2024-04-10,300,المواطنون,16968,جمعية البر الأهلية بمحافظة الحجرة,الحجرة,https://ehsan.sa/projects/0/47020?amount=null,شوال
822,P48190,سقيا الماء للأسر المتعففة,300000,2024-04-10,2000,المواطنون,18975,جمعية البر الخيرية بأبها,أبها,https://ehsan.sa/projects/0/47191?amount=null,شوال
823,P47918,كفالة الأرامل والمطلقات,261000,2024-04-10,58,المواطنون والمقيمون بالمملكة,10036,جمعية الخدمات الاجتماعية بمركز هيت,الرياض,https://ehsan.sa/projects/0/46919?amount=null,شوال
824,P48191,السلال الغذائية للأسر المحتاجة,259200,2024-04-10,72,المواطنون,11084,جمعية بر مشارق,خليص,https://ehsan.sa/projects/0/47192?amount=null,شوال
825,P48182,استكمال بناء مسجد الأجفر,1939112,2024-04-10,300,المواطنون والمقيمون بالمملكة,102881,جمعية كفاءة للتشغيل والصيانة الأهلية,الأجفر,https://ehsan.sa/projects/0/47183?amount=null,شوال
826,P48186,توزيع اللحوم على الأسر المحتاجة,120000,2024-04-10,100,المواطنون,5693,نجباء لرعاية الأيتام بالفرشة,الفرشة,https://ehsan.sa/projects/0/47187?amount=null,شوال
827,P47843,تفريج كرب,250000,2024-04-10,25,المواطنون,11914,جمعية باذل للخدمات الاجتماعية,بريدة,https://ehsan.sa/projects/0/46844?amount=null,شوال
828,P48192,رحلات العمرة للمتعففين,52000,2024-04-09,130,المقيمون بالمملكة,3043,جمعية الدعوة والإرشاد وتوعية الجاليات في الأحمر,الأحمر,https://ehsan.sa/projects/0/47193?amount=null,رمضان
829,P47293,جلسات الإصلاح الأسري,380432,2024-04-09,3068,المواطنون والمقيمون بالمملكة,32397,الجمعية الخيرية لتيسير الزواج والرعاية الأسرية بعنيزة تآلف,عنيزة,https://ehsan.sa/projects/0/46294?amount=null,رمضان
830,P48194,عملية جيوب أنفية لمريضة متعففة,20000,2024-04-09,1,المواطنون,494,جمعية رحماء الصحية,الرياض,https://ehsan.sa/projects/0/47195?amount=null,رمضان
831,P48185,تأثيث منازل المتعففين,160000,2024-04-09,8,المواطنون,8967,جمعية صون الاسكانية,صبياء,https://ehsan.sa/projects/0/47186?amount=null,رمضان
832,P48188,سقيا الماء في الحرم,500000,2024-04-09,500000,المواطنون والمقيمون بالمملكة,34467,جمعية ميراث العلمية,مكة المكرمة,https://ehsan.sa/projects/0/47189?amount=null,رمضان
833,P48189,نقل مرضى السرطان,350100,2024-04-09,389,المواطنون والمقيمون بالمملكة,21542,الجمعية السعودية الخيرية لمكافحة السرطان,الرياض,https://ehsan.sa/projects/0/47190?amount=null,رمضان
834,P48183,رحلات العمرة للمتعففين,80000,2024-04-09,400,المواطنون والمقيمون بالمملكة,4488,جمعية الدعوة والإرشاد وتوعية الجاليات بساحل الجعافرة,قوز الجعافرة,https://ehsan.sa/projects/0/47184?amount=null,رمضان
835,P48187,السلال الغذائية للأسر المحتاجة,198000,2024-04-09,198,المواطنون والمقيمون بالمملكة,8678,جمعية البر والخدمات الاجتماعية بمركز صفينه,صفينة,https://ehsan.sa/projects/0/47188?amount=null,رمضان
836,P48184,كفالة مرضى الفشل الكلوي,88320,2024-04-08,2,المقيمون بالمملكة,1584,جمعية الكوثر الصحية بعسير,أبها,https://ehsan.sa/projects/0/47185?amount=null,رمضان
837,P48181,إعانة أسر السجناء,132000,2024-04-08,11,المواطنون,2256,جمعية البر الخيرية بتندحة,تندحة,https://ehsan.sa/projects/0/47182?amount=null,رمضان
838,P48167,العمليات الجراحية للأطفال مرضى القلب,175000,2024-04-08,5,المواطنون والمقيمون بالمملكة,5361,جمعية قلب لرعاية مرضى القلب,بريدة,https://ehsan.sa/projects/0/47168?amount=null,رمضان
839,P47842,تفريج كرب الأسر المحتاجة,249804,2024-04-08,972,المقيمون بالمملكة,3656,جمعية المستودع الخيري بشرورة كنان,شرورة,https://ehsan.sa/projects/0/46843?amount=null,رمضان
840,P48078,دعم وتدريب الأسر المنتجة,105000,2024-04-08,15,المواطنون,5027,جمعية التنمية الأهلية ببللسمر,باللسمر,https://ehsan.sa/projects/0/47079?amount=null,رمضان
841,P48155,بناء مسجد,4800000,2024-04-08,480,المواطنون والمقيمون بالمملكة,262638,جمعية العناية بمساجد الطرق,بارق,https://ehsan.sa/projects/0/47156?amount=null,رمضان
842,P48177,سقيا الماء في الحرم,500000,2024-04-08,250000,المواطنون والمقيمون بالمملكة,29820,جمعية حفاوة لخدمة الحاج والمعتمر والزائر,مكة المكرمة,https://ehsan.sa/projects/0/47178?amount=null,رمضان
843,P47917,كفالة الأرامل والمطلقات,211200,2024-04-08,88,المواطنون,10306,الجمعية الأهلية بمحافظة الدائر,الدائر,https://ehsan.sa/projects/0/46918?amount=null,رمضان
